Hum,Temp
81.00,31.00
71.00,34.00
87.00,32.00
69.00,35.00
90.00,36.00
78.00,35.00
76.00,32.00
61.00,27.00
87.00,25.00
68.00,27.00
65.00,26.00
65.00,24.00
82.00,25.00
82.00,34.00
66.00,30.00
65.00,31.00
64.00,32.00
63.00,25.00
62.00,29.00
66.00,27.00
86.00,29.00
70.00,34.00
62.00,27.00
81.00,36.00
65.00,26.00
71.00,29.00
85.00,35.00
69.00,29.00
60.00,35.00
66.00,27.00
66.00,30.00
84.00,32.00
82.00,36.00
72.00,33.00
84.00,30.00
88.00,36.00
75.00,26.00
90.00,34.00
84.00,28.00
66.00,29.00
86.00,29.00
84.00,27.00
68.00,36.00
69.00,25.00
87.00,31.00
66.00,32.00
87.00,34.00
70.00,31.00
61.00,35.00
81.00,29.00
82.00,29.00
72.00,26.00
64.00,29.00
76.00,34.00
82.00,35.00
78.00,33.00
88.00,25.00
71.00,34.00
77.00,33.00
89.00,34.00
76.00,36.00
86.00,33.00
69.00,35.00
76.00,30.00
80.00,25.00
62.00,33.00
79.00,26.00
63.00,28.00
75.00,34.00
89.00,25.00
72.00,30.00
75.00,28.00
86.00,36.00
84.00,28.00
61.00,33.00
79.00,35.00
69.00,25.00
78.00,34.00
78.00,27.00
72.00,32.00
82.00,30.00
72.00,35.00
67.00,34.00
71.00,29.00
90.00,35.00
68.00,36.00
69.00,36.00
75.00,35.00
85.00,30.00
68.00,32.00
75.00,29.00
76.00,36.00
84.00,29.00
84.00,33.00
65.00,27.00
89.00,27.00
78.00,34.00
77.00,31.00
72.00,36.00
87.00,30.00
68.00,24.00
75.00,36.00
86.00,27.00
74.00,30.00
67.00,31.00
85.00,36.00
88.00,26.00
83.00,33.00
78.00,33.00
69.00,25.00
78.00,28.00
70.00,26.00
73.00,34.00
90.00,36.00
71.00,32.00
78.00,30.00
81.00,26.00
68.00,30.00
75.00,25.00
65.00,24.00
66.00,28.00
68.00,24.00
84.00,24.00
83.00,36.00
87.00,30.00
71.00,31.00
80.00,29.00
82.00,24.00
81.00,25.00
76.00,34.00
87.00,30.00
81.00,29.00
89.00,35.00
83.00,29.00
85.00,25.00
68.00,34.00
89.00,29.00
68.00,27.00
81.00,32.00
89.00,28.00
Hum,Temp
49.20,25.80
49.20,25.80
49.10,25.80
49.10,25.80
49.10,25.80
49.10,25.80
49.10,25.80
49.00,25.80
49.00,25.80
49.00,25.80
48.90,25.80
48.90,25.80
48.90,25.80
48.80,25.80
48.90,25.90
48.80,25.80
48.80,25.80
48.70,25.80
48.70,25.90
48.60,25.80
48.50,25.80
48.50,25.80
48.50,25.80
48.60,25.80
48.60,25.80
48.70,25.80
48.80,25.80
48.90,25.80
48.80,25.80
48.80,25.80
48.70,25.80
48.70,25.80
48.60,25.80
48.60,25.90
48.50,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.40,25.80
48.30,25.80
48.30,25.80
48.30,25.80
48.30,25.80
48.20,25.80
48.30,25.70
48.20,25.80
48.10,25.80
48.10,25.80
48.20,25.70
48.10,25.80
48.10,25.80
48.10,25.80
48.10,25.80
48.10,25.80
48.10,25.80
48.10,25.80
48.00,25.80
47.90,25.80
47.70,25.80
47.60,25.80
47.60,25.80
47.60,25.80
47.90,25.80
48.00,25.80
48.10,25.80
48.30,25.70
48.20,25.80
48.20,25.80
48.10,25.80
48.20,25.70
48.10,25.80
48.10,25.70
48.10,25.70
48.10,25.70
48.10,25.70
48.10,25.70
48.10,25.80
48.20,25.70
48.20,25.70
48.30,25.60
48.20,25.70
48.20,25.70
48.20,25.70
48.30,25.60
48.40,25.60
48.40,25.70
48.40,25.70
Hum,Temp
47.10,25.80
47.10,25.90
47.00,25.90
47.00,25.90
47.00,25.90
46.90,25.90
46.90,25.90
46.80,25.90
46.80,25.90
46.90,25.90
46.80,25.80
46.80,25.90
46.80,25.90
46.80,25.90
46.80,25.80
46.70,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.60,26.00
46.60,25.90
46.60,25.90
46.50,26.00
46.60,25.90
46.60,25.90
46.50,25.90
46.60,25.90
46.50,25.90
46.50,25.90
46.30,26.00
46.40,25.90
46.50,25.90
46.30,26.00
46.50,25.90
Hum,Temp
46.20,26.00
46.20,26.00
46.20,26.00
46.30,25.90
46.20,26.10
46.20,26.00
46.20,26.00
46.20,26.00
46.30,26.00
46.30,26.00
46.30,26.00
46.40,26.10
46.50,25.90
46.40,26.10
46.40,26.00
46.50,25.90
46.50,26.00
46.50,26.00
46.50,26.00
46.60,26.00
46.60,26.00
46.50,26.00
46.60,26.00
46.60,26.00
46.60,26.00
46.70,25.90
46.80,25.90
46.70,26.00
46.70,26.00
46.90,26.00
47.00,26.00
47.10,26.00
47.10,26.00
47.00,26.00
47.00,26.00
47.00,26.00
47.00,26.00
46.90,26.00
47.00,26.00
46.90,26.10
46.90,26.00
46.90,26.10
46.90,26.00
46.90,26.00
46.90,26.00
47.00,26.00
47.00,26.00
47.10,26.00
47.10,26.00
47.10,26.00
47.10,26.00
47.10,26.00
47.10,26.00
47.00,26.00
47.10,25.90
47.10,26.00
47.10,26.00
47.10,26.00
47.20,25.90
47.20,25.90
47.20,25.90
47.30,25.90
47.30,25.90
47.30,25.90
47.20,26.00
47.30,25.90
47.20,25.90
47.20,25.90
47.20,25.90
47.30,25.90
47.30,25.90
47.30,25.90
47.30,25.90
47.30,25.90
47.30,25.80
47.30,25.90
47.30,25.90
47.40,25.90
47.40,25.90
47.40,25.90
47.40,25.80
47.50,25.90
47.40,25.90
47.40,25.90
47.40,25.90
47.40,25.90
47.40,25.90
47.40,25.80
47.40,25.80
47.40,25.90
47.40,25.90
47.50,25.90
47.50,25.80
47.60,25.90
47.50,25.90
47.50,25.90
47.40,25.90
47.40,25.80
47.40,25.90
47.40,25.90
47.40,25.90
47.40,25.80
47.50,25.80
47.50,25.80
47.50,25.80
47.50,25.90
47.50,25.80
47.50,25.80
47.50,25.90
47.50,25.80
47.60,25.90
47.60,25.90
47.70,25.90
47.70,25.90
47.90,25.90
47.90,25.80
47.90,25.90
48.00,25.90
47.90,25.90
47.80,25.90
47.70,25.90
47.70,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.80,25.90
47.80,25.90
47.70,25.80
47.70,25.80
47.60,25.90
47.50,26.00
47.60,25.80
47.60,25.80
47.60,25.90
47.50,25.90
47.50,25.90
47.50,25.90
47.40,25.90
47.40,25.80
47.40,25.90
47.40,25.80
47.50,25.90
47.50,25.90
47.50,25.90
47.50,25.90
47.50,25.90
47.50,25.90
47.60,25.90
47.60,25.90
47.50,25.90
47.60,25.90
47.60,25.90
47.70,25.90
47.70,25.90
47.60,25.90
47.60,25.90
47.70,25.90
47.70,25.90
47.70,25.90
47.70,25.90
47.60,25.90
47.50,26.00
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.90
47.60,25.80
47.60,25.90
47.40,26.00
47.40,25.90
47.30,25.90
47.20,25.90
47.10,25.90
47.10,25.90
47.10,25.90
47.10,25.90
47.10,25.90
47.10,25.90
47.00,25.90
46.90,25.90
46.90,25.90
46.90,25.90
46.80,25.90
46.80,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.60,26.00
46.70,25.90
46.70,25.90
46.70,25.90
46.70,25.90
46.50,26.00
46.60,25.90
46.70,25.90
46.90,25.90
46.90,25.90
46.80,26.00
46.70,26.00
46.70,26.00
46.70,26.00
46.80,26.00
46.90,26.00
47.00,26.00
46.90,26.00
46.90,26.00
46.80,26.00
46.70,26.00
46.70,26.00
46.60,26.00
46.50,26.00
46.50,26.00
46.40,26.00
46.50,25.90
46.40,26.00
46.30,26.00
46.40,25.90
46.30,26.00
46.40,25.90
46.30,26.00
46.40,25.90
46.30,26.00
46.40,26.00
46.50,25.90
46.40,26.00
46.40,25.90
46.40,25.90
46.40,25.90
46.40,25.90
46.40,25.90
46.30,25.90
46.40,25.90
46.40,25.90
46.40,25.90
46.30,25.90
46.30,25.90
46.30,25.90
46.40,25.90
46.40,25.90
46.40,25.90
46.20,26.00
46.20,26.00
46.30,25.90
46.30,25.90
46.20,25.90
46.20,25.90
46.10,25.90
46.10,25.90
46.00,26.00
46.10,25.90
46.10,25.90
45.90,26.00
46.00,25.90
45.90,25.90
45.90,25.90
45.90,25.90
45.90,25.90
45.80,25.90
45.70,25.90
45.60,26.00
45.80,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.70,25.90
45.60,25.90
45.60,25.90
45.60,25.90
45.60,25.90
45.50,25.90
45.50,25.90
45.50,25.80
45.50,25.90
45.50,25.90
45.50,25.90
45.50,25.80
45.50,25.80
45.50,25.80
45.50,25.90
45.50,25.90
45.50,25.80
45.40,25.80
45.40,25.80
45.40,25.80
45.60,25.70
45.60,25.80
45.70,25.70
45.60,25.80
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.70
45.70,25.60
45.70,25.70
45.70,25.60
45.70,25.50
45.70,25.60
45.70,25.60
45.80,25.60
45.70,25.60
45.70,25.60
45.70,25.70
45.70,25.60
45.80,25.50
45.90,25.60
46.00,25.50
46.00,25.60
45.90,25.60
45.90,25.60
46.00,25.60
46.00,25.50
46.10,25.50
46.10,25.50
46.10,25.50
46.10,25.50
46.10,25.50
46.20,25.50
46.20,25.60
46.30,25.50
46.30,25.50
46.30,25.50
46.30,25.50
46.30,25.50
46.30,25.50
46.40,25.50
